,City of Seller,City of Purchaser,Time of Order origin,Commodity Index,Amount of Commodity,Whether Emergency? (Yes:1 No:0),Time of Order,Transport,Vehicle
122,1,203,5:55:11,56,21,0,355.1833333,,
123,1,205,20:58:16,121,2,0,1258.266667,,
124,1,208,11:08:35,8,45,0,668.5833332999999,,
125,1,212,4:36:06,45,15,0,276.1,,
126,1,213,15:15:56,64,2,0,915.9333332999998,,
127,1,215,17:43:45,95,34,0,1063.75,,
128,1,216,8:00:37,96,42,0,480.61666669999994,,
129,1,216,16:47:42,41,50,0,1007.7,,
130,1,220,6:29:52,63,8,0,389.8666667,,
131,1,220,20:10:26,61,17,0,1210.433333,,
132,1,226,13:09:05,18,5,0,789.0833332999999,,
133,1,227,5:14:39,72,41,0,314.65,,
134,1,230,3:30:25,82,39,0,210.41666669999998,,
135,1,230,23:17:48,122,19,0,1397.8,,
136,1,232,21:25:07,25,4,0,1285.116667,,
137,1,234,21:56:31,74,25,0,1316.516667,,
138,1,235,15:47:15,53,18,0,947.25,,
139,1,235,17:38:49,58,39,0,1058.816667,,
140,1,236,1:51:28,44,45,0,111.46666670000002,,
141,1,237,10:46:58,114,44,0,646.9666667,,
142,1,240,21:40:23,20,5,0,1300.383333,,
143,1,241,0:43:41,52,37,1,43.68333333,,
144,1,248,1:54:56,82,14,0,114.93333329999999,,
145,1,248,2:54:59,101,15,0,174.9833333,,
146,1,249,3:59:41,54,24,0,239.68333330000002,,
147,1,249,23:07:06,88,37,0,1387.1,,
148,1,251,4:34:23,70,46,0,274.3833333,,
149,1,257,1:53:32,9,42,0,113.53333329999998,,
150,1,259,8:44:45,106,17,0,524.75,,
151,1,265,16:39:14,42,10,1,999.2333332999999,,
152,1,266,23:17:18,91,13,0,1397.3,,
153,1,268,15:25:09,94,7,0,925.15,,
154,1,269,15:16:59,95,48,0,916.9833332999999,,
155,1,272,20:00:18,106,35,0,1200.3,,
156,1,274,1:48:52,115,50,0,108.86666670000001,,
157,1,278,17:41:08,63,47,0,1061.133333,,
158,1,279,0:25:51,121,30,0,25.85,,
159,1,279,10:10:33,52,49,0,610.55,,
160,1,281,20:16:51,119,7,0,1216.85,,
161,1,282,18:09:59,120,18,1,1089.983333,,
162,1,283,23:37:18,18,16,0,1417.3,,
163,1,287,1:05:54,70,26,0,65.9,,
164,1,289,5:35:59,105,34,0,335.9833333,,
165,1,289,7:28:07,8,33,1,448.11666669999994,,
166,1,289,17:39:19,108,25,0,1059.316667,,
167,1,290,17:36:57,20,19,0,1056.95,,
168,1,290,18:23:35,42,38,0,1103.583333,,
169,1,292,21:11:06,38,19,0,1271.1,,
170,1,296,14:14:53,2,29,1,854.8833332999999,,
171,1,296,19:16:32,87,36,0,1156.533333,,
172,1,299,3:15:40,64,47,0,195.66666669999998,,
173,1,299,21:05:50,23,4,0,1265.833333,,
174,1,300,12:53:17,104,9,0,773.2833333,,
175,1,302,10:25:24,47,15,0,625.4,,
176,1,304,19:10:33,95,42,1,1150.55,,
177,1,306,1:02:50,14,9,0,62.83333333,,
178,1,307,10:42:37,38,43,0,642.6166667,,
179,1,310,19:54:54,97,38,0,1194.9,,
180,1,313,19:18:29,46,10,0,1158.483333,,
181,1,314,17:36:24,5,26,0,1056.4,,
182,1,315,20:18:17,98,21,1,1218.283333,,
183,1,316,10:58:10,101,44,0,658.1666667000001,,
184,1,317,6:42:49,47,22,0,402.8166667,,
185,1,318,23:33:36,113,23,0,1413.6,,
186,1,320,9:14:00,91,11,0,554.0,,
187,1,321,21:26:24,104,34,1,1286.4,,
188,1,322,11:18:44,73,36,1,678.7333332999999,,
189,1,324,21:57:58,1,49,0,1317.966667,,
190,1,325,14:00:00,115,5,0,840.0,,
191,1,327,13:07:48,48,20,1,787.8,,
192,1,328,2:10:02,108,29,0,130.03333329999998,,
193,1,330,16:02:01,94,1,0,962.0166667000001,,
194,1,334,10:35:36,11,35,0,635.6,,
195,1,334,15:58:26,49,46,1,958.4333332999998,,
196,1,336,11:40:59,101,45,0,700.9833332999999,,
197,1,336,13:02:45,3,12,1,782.75,,
198,1,343,4:10:26,8,10,0,250.43333330000002,,
199,1,343,19:07:35,102,17,0,1147.583333,,
200,1,346,21:34:50,78,14,0,1294.833333,,
201,1,349,3:03:41,94,15,0,183.68333330000002,,
202,1,349,6:13:57,48,6,0,373.95,,
203,1,350,12:59:39,50,38,0,779.65,,
204,1,350,17:34:17,53,49,1,1054.283333,,
205,1,351,1:36:39,110,43,0,96.65,,
206,1,351,17:34:20,104,42,0,1054.333333,,
207,1,352,12:30:50,58,7,0,750.8333332999999,,
208,1,352,22:49:16,3,21,0,1369.266667,,
209,1,353,13:54:53,37,24,0,834.8833333,,
210,1,355,23:56:36,9,23,1,1436.6,,
211,1,356,18:41:37,57,47,0,1121.616667,,
212,1,358,14:01:35,71,7,0,841.5833332999998,,
213,1,361,3:41:21,76,26,0,221.35,,
214,1,361,16:45:25,71,20,0,1005.416667,,
215,1,365,4:07:07,19,39,1,247.1166667,,
216,1,375,18:40:09,87,17,0,1120.15,,
217,1,378,9:58:31,103,47,0,598.5166667000001,,
218,1,380,6:59:24,18,19,0,419.4,,
219,1,380,10:07:37,25,22,0,607.6166667,,
220,1,382,21:24:25,25,14,0,1284.416667,,
221,1,383,5:20:31,98,13,1,320.5166667,,
222,1,384,22:26:59,53,14,0,1346.983333,,
223,1,386,5:45:25,7,37,0,345.4166667,,
224,1,387,18:08:20,112,4,0,1088.333333,,
225,1,387,18:23:29,100,38,0,1103.483333,,
226,1,388,19:52:29,21,39,0,1192.483333,,
227,1,391,1:40:19,73,32,0,100.3166667,,
228,1,391,17:46:31,38,17,0,1066.516667,,
229,1,394,11:12:00,5,49,0,672.0,,
230,1,395,11:09:16,62,30,0,669.2666667000001,,
231,1,395,18:18:51,100,42,1,1098.85,,
232,1,396,6:20:42,84,45,0,380.7,,
233,1,399,13:46:55,86,50,0,826.9166667000001,,
234,1,400,13:44:08,6,10,1,824.1333333,,
235,1,400,19:47:31,97,34,0,1187.516667,,
236,1,404,4:44:34,84,1,0,284.5666667,,
237,1,405,0:45:03,58,21,0,45.05,,
238,1,405,19:15:20,71,42,0,1155.333333,,
239,1,406,14:52:04,64,30,0,892.0666667000002,,
240,1,406,20:08:37,57,38,0,1208.616667,,
241,1,407,17:23:55,118,34,0,1043.916667,,
242,1,409,9:51:07,11,46,0,591.1166667,,
243,1,414,6:17:31,88,44,1,377.5166667,,
244,1,416,11:48:32,53,27,0,708.5333333,,
245,1,417,5:58:56,3,4,0,358.9333333,,
246,1,418,9:17:01,42,21,0,557.0166667000001,,
247,1,423,0:11:54,14,3,0,11.9,,
248,1,427,1:01:05,88,26,0,61.08333333,,
249,1,428,8:39:42,7,12,0,519.7,,
250,1,430,13:48:25,28,23,0,828.4166667000001,,
251,1,431,5:00:08,22,30,0,300.1333333,,
252,1,434,15:37:27,12,15,0,937.45,,
253,1,434,19:53:48,101,4,1,1193.8,,
254,1,436,9:21:10,98,48,0,561.1666667000001,,
255,1,436,9:44:13,22,20,0,584.2166667,,
256,1,437,0:48:36,8,33,0,48.6,,
257,1,438,4:12:29,47,11,0,252.4833333,,
258,1,438,22:48:40,68,18,0,1368.666667,,
259,1,439,6:56:07,100,25,0,416.1166667,,
260,1,439,11:34:53,61,23,0,694.8833333,,
261,1,439,20:14:45,8,11,1,1214.75,,
262,1,440,16:00:19,45,25,0,960.3166667000002,,
263,1,443,7:00:41,73,20,0,420.6833333000001,,
264,1,443,10:16:06,9,31,0,616.1,,
265,1,444,20:55:39,82,3,0,1255.65,,
266,1,445,21:30:51,74,9,0,1290.85,,
267,1,445,23:23:46,2,44,0,1403.766667,,
268,1,446,14:35:39,26,17,0,875.65,,
269,1,448,19:23:13,34,45,0,1163.216667,,
270,1,449,22:12:57,109,19,0,1332.95,,
271,1,450,5:59:08,37,27,0,359.1333333,,
272,1,450,10:16:21,18,9,0,616.35,,
273,1,451,18:07:47,91,41,0,1087.783333,,
274,1,453,17:34:38,24,31,0,1054.633333,,
275,1,454,17:23:19,112,34,1,1043.316667,,
276,1,455,16:32:39,101,37,0,992.65,,
277,1,460,1:10:35,68,47,0,70.58333333,,
278,1,463,4:42:51,34,49,0,282.85,,
279,1,465,11:31:08,6,42,1,691.1333333,,
280,1,467,22:06:59,42,39,0,1326.983333,,
281,1,469,12:01:32,52,14,1,721.5333333,,
282,1,472,17:54:12,64,7,0,1074.2,,
283,1,476,20:59:17,24,42,0,1259.283333,,
284,1,477,12:51:32,57,12,0,771.5333333,,
285,1,481,1:08:42,72,32,0,68.7,,
286,1,481,11:45:22,93,47,0,705.3666667,,
287,1,483,9:50:12,116,32,0,590.2,,
288,1,483,21:40:57,17,26,0,1300.95,,
289,1,485,15:28:08,13,29,1,928.1333332999999,,
290,1,487,1:33:02,70,24,0,93.03333333,,
291,1,487,4:23:28,83,22,1,263.46666669999996,,
292,1,487,10:26:56,26,25,0,626.9333333,,
293,1,489,17:50:04,29,25,0,1070.066667,,
294,1,490,14:41:50,7,14,0,881.8333332999998,,
295,1,495,4:29:40,17,44,0,269.6666667,,
296,1,499,7:53:06,64,14,0,473.1,,
297,1,502,18:22:47,108,50,1,1102.783333,,
298,1,504,9:08:04,4,38,0,548.0666667,,
299,1,505,8:57:49,43,27,0,537.8166667,,
300,1,508,0:20:25,63,5,0,20.41666667,,
301,1,510,0:15:19,66,45,1,15.31666667,,
302,1,510,18:58:00,31,8,0,1138.0,,
303,1,512,22:36:32,56,16,0,1356.533333,,
304,1,513,9:17:35,35,39,0,557.5833332999999,,
305,1,513,16:49:02,86,44,0,1009.033333,,
306,1,516,5:01:58,118,12,1,301.96666669999996,,
307,1,518,12:24:44,17,43,0,744.7333332999999,,
308,1,518,23:25:37,113,10,1,1405.616667,,
309,1,520,10:17:37,117,15,0,617.6166667,,
310,1,521,7:21:10,21,40,0,441.16666669999995,,
311,1,526,12:13:27,39,12,0,733.45,,
312,1,531,7:37:59,11,42,0,457.9833333000001,,
313,1,531,23:03:11,90,34,1,1383.183333,,
314,1,531,23:10:29,107,10,0,1390.483333,,
315,1,534,17:13:20,91,42,0,1033.333333,,
316,1,541,20:20:35,120,31,0,1220.583333,,
317,1,544,2:14:28,72,35,0,134.4666667,,
318,1,544,5:35:31,60,30,0,335.5166667,,
319,1,544,10:47:27,115,40,0,647.45,,
320,1,544,11:29:56,87,46,0,689.9333333,,
321,1,545,10:23:49,65,22,0,623.8166667,,
322,1,547,19:17:00,117,22,0,1157.0,,
323,1,547,23:03:25,27,12,0,1383.416667,,
324,1,550,11:37:17,34,23,0,697.2833333,,
325,1,553,12:08:03,44,42,1,728.05,,
326,1,553,13:47:15,22,38,0,827.25,,
327,1,554,8:45:33,101,29,0,525.55,,
328,1,555,6:58:33,24,39,0,418.55,,
329,1,556,15:06:07,105,49,1,906.1166667000001,,
330,1,558,3:06:50,32,16,0,186.83333330000002,,
331,1,558,23:38:49,109,39,0,1418.816667,,
332,1,561,11:07:45,90,9,0,667.75,,
333,1,561,13:16:24,103,8,0,796.4,,
334,1,562,2:13:38,20,24,0,133.63333329999998,,
335,1,563,6:30:17,73,45,0,390.28333330000004,,
336,1,566,23:51:41,86,32,0,1431.683333,,
337,1,567,15:50:02,95,13,1,950.0333332999999,,
338,1,568,1:24:23,20,23,0,84.38333333,,
339,1,568,19:44:23,6,15,1,1184.383333,,
340,1,571,9:34:43,38,15,1,574.7166667,,
341,1,574,5:55:17,83,10,0,355.28333330000004,,
342,1,576,8:35:56,47,24,1,515.9333333000001,,
343,1,577,12:00:54,1,24,0,720.9,,
344,1,579,21:00:18,74,24,0,1260.3,,
345,1,581,13:52:43,96,15,0,832.7166667,,
346,1,583,1:38:24,104,41,0,98.4,,
347,1,584,5:40:01,79,15,0,340.0166667,,
348,1,589,11:52:34,73,31,0,712.5666667,,
349,1,591,17:03:41,120,1,0,1023.6833330000001,,
350,1,592,15:47:15,121,24,0,947.25,,
351,1,600,7:22:48,32,10,0,442.8,,
352,1,600,7:29:32,6,14,0,449.53333330000004,,
353,1,602,11:38:06,77,21,0,698.1,,
354,1,607,18:36:44,92,13,0,1116.733333,,
355,1,608,13:24:00,1,11,0,804.0,,
356,1,614,14:36:50,66,12,1,876.8333332999998,,
357,1,617,4:35:16,40,3,1,275.2666667,,
358,1,617,20:09:36,103,47,0,1209.6,,
359,1,618,2:13:32,92,43,0,133.53333329999998,,
360,1,618,9:02:29,123,42,0,542.4833332999999,,
361,1,619,0:31:39,121,37,0,31.65,,
362,1,621,7:16:38,21,6,0,436.63333330000006,,
363,1,622,14:21:58,111,13,0,861.9666667000001,,
364,1,623,9:26:13,20,26,0,566.2166667,,
365,1,625,17:18:37,35,49,1,1038.616667,,
366,1,627,7:14:13,13,13,0,434.21666669999996,,
367,1,629,6:30:32,107,27,0,390.53333330000004,,
368,1,633,7:04:33,37,43,0,424.55,,
369,1,636,1:36:10,82,13,0,96.16666667,,
370,1,637,17:56:04,35,29,0,1076.066667,,
371,1,638,12:52:56,42,26,0,772.9333333,,
372,1,639,5:44:54,95,5,1,344.9,,
373,1,639,14:41:44,76,31,0,881.7333332999999,,
374,1,641,12:49:25,9,5,0,769.4166667000001,,
375,1,641,14:07:23,79,24,1,847.3833332999999,,
376,1,641,22:10:32,115,19,0,1330.533333,,
377,1,642,0:40:39,37,16,0,40.65,,
378,1,642,1:23:45,8,20,0,83.75,,
379,1,642,16:18:57,79,15,0,978.95,,
380,1,644,10:27:43,88,33,0,627.7166667,,
381,1,647,0:29:04,20,33,0,29.06666667,,
382,1,647,7:42:17,43,32,0,462.28333330000004,,
383,1,650,2:55:55,58,36,0,175.91666669999998,,
384,1,651,5:28:49,34,8,0,328.8166667,,
385,1,655,12:16:52,104,14,1,736.8666667,,
386,1,655,16:34:54,123,37,0,994.9,,
387,2,4,14:17:55,73,15,0,857.9166667000002,,
388,2,7,1:51:41,49,40,0,111.68333329999999,,
389,2,7,8:50:47,106,46,0,530.7833333000001,,
390,2,9,10:47:45,1,44,0,647.75,,
391,2,9,21:56:17,12,34,0,1316.283333,,
392,2,11,3:36:42,2,1,0,216.7,,
393,2,13,17:49:10,13,16,0,1069.166667,,
394,2,19,22:33:02,9,16,0,1353.033333,,
395,2,20,16:20:29,25,22,0,980.4833332999999,,
396,2,23,1:38:37,48,31,0,98.61666667,,
397,2,24,7:24:26,54,38,0,444.4333333000001,,
398,2,24,11:10:32,79,47,0,670.5333333,,
399,2,27,16:28:27,88,13,0,988.45,,
400,2,29,22:07:27,15,43,0,1327.45,,
401,2,31,13:37:34,93,32,1,817.5666667,,
402,2,32,3:50:22,64,19,0,230.3666667,,
403,2,34,18:34:18,45,15,0,1114.3,,
404,2,34,23:25:09,94,37,0,1405.15,,
405,2,35,2:05:05,1,48,0,125.08333329999999,,
406,2,36,4:55:22,87,5,0,295.3666667,,
407,2,38,2:57:12,8,43,0,177.2,,
408,2,38,6:38:04,9,13,1,398.0666667,,
409,2,40,5:16:16,23,21,0,316.2666667,,
410,2,40,15:19:15,67,35,0,919.25,,
411,2,43,14:34:12,114,35,0,874.2,,
412,2,46,8:12:25,36,4,0,492.41666669999995,,
413,2,48,20:29:40,103,1,0,1229.666667,,
414,2,49,7:40:59,93,14,0,460.9833333000001,,
415,2,50,8:53:18,45,12,1,533.3,,
416,2,50,12:00:18,105,6,0,720.3,,
417,2,51,14:21:02,20,2,0,861.0333332999999,,
418,2,53,23:53:02,72,49,0,1433.033333,,
419,2,55,10:34:03,87,7,1,634.05,,
420,2,55,23:29:54,37,11,0,1409.9,,
421,2,57,19:08:38,1,20,1,1148.633333,,
422,2,58,14:13:52,45,17,0,853.8666667000001,,
423,2,64,1:42:46,12,23,0,102.7666667,,
424,2,64,18:10:55,81,10,0,1090.916667,,
425,2,67,20:28:44,27,9,0,1228.733333,,
426,2,69,1:59:00,76,25,0,119.0,,
427,2,72,10:42:34,48,44,0,642.5666667,,
428,2,72,14:48:54,122,50,0,888.9,,
429,2,75,6:51:49,121,45,0,411.8166667,,
430,2,78,21:04:26,13,10,0,1264.433333,,
431,2,80,14:56:20,42,30,1,896.3333332999998,,
432,2,82,2:40:13,16,7,0,160.2166667,,
433,2,83,15:48:20,119,28,0,948.3333332999998,,
434,2,84,4:16:46,88,34,0,256.7666667,,
435,2,85,10:56:22,12,46,0,656.3666667,,
436,2,90,11:59:15,17,45,1,719.25,,
437,2,91,12:49:41,90,41,0,769.6833333,,
438,2,92,18:53:51,21,22,1,1133.85,,
439,2,93,15:50:29,43,18,0,950.4833332999999,,
440,2,93,18:54:24,80,36,0,1134.4,,
441,2,97,8:44:49,73,32,1,524.8166666999999,,
442,2,98,15:46:32,71,5,0,946.5333332999999,,
443,2,100,6:04:17,42,33,0,364.28333330000004,,
444,2,102,1:45:55,58,34,0,105.91666670000001,,
445,2,102,9:49:21,42,34,0,589.35,,
446,2,103,9:27:20,46,37,1,567.3333332999999,,
447,2,104,7:21:56,81,12,0,441.9333333000001,,
448,2,105,3:04:58,46,32,0,184.9666667,,
449,2,105,23:22:16,71,38,0,1402.266667,,
450,2,110,8:26:42,65,30,0,506.7,,
451,2,110,23:49:54,17,19,0,1429.9,,
452,2,113,3:51:10,22,49,0,231.16666669999998,,
453,2,122,10:46:56,14,31,1,646.9333333,,
454,2,122,18:00:29,101,48,0,1080.483333,,
455,2,124,22:58:07,108,44,0,1378.116667,,
456,2,127,19:39:33,2,48,0,1179.55,,
457,2,129,3:32:34,117,9,0,212.56666669999998,,
458,2,130,21:27:15,47,46,0,1287.25,,
459,2,135,14:05:53,49,31,0,845.8833332999999,,
460,2,136,4:56:48,52,46,0,296.8,,
461,2,141,8:27:12,82,2,0,507.2,,
462,2,144,13:56:30,78,31,1,836.5,,
463,2,145,15:04:15,7,47,1,904.25,,
464,2,145,22:32:11,104,46,1,1352.183333,,
465,2,149,21:55:47,92,22,0,1315.783333,,
466,2,154,18:24:15,114,49,0,1104.25,,
467,2,156,17:06:42,34,15,0,1026.7,,
468,2,156,17:41:07,46,13,1,1061.116667,,
469,2,158,9:31:48,114,34,1,571.8,,
470,2,158,16:26:14,104,10,0,986.2333332999999,,
471,2,159,15:44:36,115,9,0,944.6,,
472,2,160,7:32:54,104,27,0,452.9,,
473,2,160,12:36:49,22,10,0,756.8166667,,
474,2,162,0:43:07,8,42,0,43.11666667,,
475,2,164,13:44:57,47,38,0,824.95,,
476,2,167,14:35:54,3,12,0,875.9,,
477,2,168,2:06:39,30,29,0,126.65,,
478,2,169,4:14:03,45,48,1,254.05,,
479,2,170,22:17:18,2,15,0,1337.3,,
480,2,174,1:38:20,42,47,0,98.33333333,,
481,2,177,14:24:11,58,11,0,864.1833332999998,,
482,2,177,17:49:07,53,48,0,1069.116667,,
483,2,181,2:23:16,92,8,0,143.2666667,,
484,2,184,11:18:38,21,19,0,678.6333333,,
485,2,186,9:45:11,42,21,0,585.1833333,,
486,2,187,0:57:37,106,46,0,57.61666667,,
487,2,187,2:40:16,35,40,0,160.2666667,,
488,2,187,11:22:58,54,37,0,682.9666667,,
489,2,187,20:43:23,48,32,0,1243.383333,,
490,2,188,20:55:06,8,20,0,1255.1,,
491,2,189,16:33:24,20,43,1,993.4,,
492,2,189,17:06:23,97,8,0,1026.383333,,
493,2,190,2:34:15,94,28,1,154.25,,
494,2,193,5:40:22,110,14,0,340.3666667,,
495,2,193,13:12:46,57,46,0,792.7666667000001,,
496,2,195,17:42:32,42,6,0,1062.533333,,
497,2,196,22:53:28,40,9,0,1373.466667,,
498,2,199,2:36:45,41,29,0,156.75,,
499,2,200,2:00:19,29,35,0,120.31666670000001,,
500,2,200,15:19:51,67,4,0,919.85,,
501,2,201,4:12:30,111,16,1,252.5,,
502,2,202,18:00:54,44,39,0,1080.9,,
503,2,208,14:49:47,49,4,0,889.7833332999999,,
504,2,208,19:24:26,4,13,0,1164.433333,,
505,2,209,6:51:49,53,12,0,411.8166667,,
506,2,209,17:25:50,5,2,0,1045.833333,,
507,2,219,4:23:45,113,26,0,263.75,,
508,2,220,12:45:53,99,37,0,765.8833333,,
509,2,220,14:19:03,20,10,0,859.05,,
510,2,220,21:17:42,100,13,0,1277.7,,
511,2,222,21:42:28,69,6,0,1302.466667,,
512,2,226,23:45:35,21,49,0,1425.583333,,
513,2,228,17:02:03,64,46,0,1022.05,,
514,2,230,4:17:08,1,41,0,257.1333333,,
515,2,230,22:47:22,13,13,1,1367.366667,,
516,2,231,6:29:19,1,1,0,389.3166667,,
517,2,232,21:41:54,2,4,0,1301.9,,
518,2,240,2:25:30,9,29,0,145.5,,
519,2,248,4:11:45,106,48,0,251.75,,
520,2,249,0:31:48,92,47,0,31.8,,
521,2,250,10:34:24,103,24,0,634.4,,
522,2,251,1:52:07,71,38,0,112.11666670000001,,
523,2,251,23:43:37,109,3,0,1423.616667,,
524,2,253,17:44:23,16,14,0,1064.383333,,
525,2,255,21:00:11,9,42,0,1260.183333,,
526,2,257,5:16:48,28,28,0,316.8,,
527,2,258,11:38:36,74,26,0,698.6,,
528,2,258,12:09:36,6,36,0,729.6,,
529,2,258,12:56:45,119,41,0,776.75,,
530,2,259,8:21:51,82,34,0,501.85,,
531,2,260,1:00:09,19,40,0,60.15,,
